37, 20.016359, 1703882758
142, 20.016359, 1703882758
15, 20.016359, 1703882758
132, 20.016359, 1703882758
21, 20.016359, 1703882758
15, 19.879309, 1703882759
15, 20.047105, 1703882760
37, 19.879309, 1703882761
15, 20.193980, 1703882762
132, 19.879309, 1703882762
21, 19.879309, 1703882762
142, 19.879309, 1703882762
15, 20.336093, 1703882763
37, 20.047105, 1703882763
15, 20.565538, 1703882764
15, 20.327233, 1703882765
37, 20.193980, 1703882765
132, 20.047105, 1703882765
21, 20.047105, 1703882765
142, 20.047105, 1703882765
15, 20.107617, 1703882766
15, 20.058300, 1703882767
37, 20.336093, 1703882767
132, 20.193980, 1703882768
21, 20.193980, 1703882768
142, 20.193980, 1703882768
15, 19.900346, 1703882768
15, 20.072584, 1703882769
37, 20.565538, 1703882769
