15, 15.000000, Mon Jun 27 21:56:14 2022
21, 17.000000, Mon Jun 27 21:56:14 2022
37, 18.000000, Mon Jun 27 21:56:14 2022
49, 19.000000, Mon Jun 27 21:56:14 2022
112, 20.000000, Mon Jun 27 21:56:14 2022
129, 23.000000, Mon Jun 27 21:56:14 2022
132, 24.000000, Mon Jun 27 21:56:14 2022
142, 25.000000, Mon Jun 27 21:56:14 2022
15, 14.925420, Mon Jun 27 21:56:44 2022
21, 17.183547, Mon Jun 27 21:56:44 2022
37, 17.840987, Mon Jun 27 21:56:44 2022
49, 18.807750, Mon Jun 27 21:56:44 2022
112, 19.861476, Mon Jun 27 21:56:44 2022
129, 23.057308, Mon Jun 27 21:56:44 2022
132, 23.794071, Mon Jun 27 21:56:44 2022
142, 25.086001, Mon Jun 27 21:56:44 2022
15, 14.979967, Mon Jun 27 21:57:14 2022
21, 17.123876, Mon Jun 27 21:57:14 2022
37, 17.646289, Mon Jun 27 21:57:14 2022
49, 18.788146, Mon Jun 27 21:57:14 2022
112, 19.900284, Mon Jun 27 21:57:14 2022
129, 22.833200, Mon Jun 27 21:57:14 2022
132, 23.969323, Mon Jun 27 21:57:14 2022
142, 25.185178, Mon Jun 27 21:57:14 2022
15, 15.208562, Mon Jun 27 21:57:44 2022
21, 16.980319, Mon Jun 27 21:57:44 2022
37, 17.406198, Mon Jun 27 21:57:44 2022
49, 18.881909, Mon Jun 27 21:57:44 2022
112, 19.870822, Mon Jun 27 21:57:44 2022
129, 22.724342, Mon Jun 27 21:57:44 2022
132, 23.740619, Mon Jun 27 21:57:44 2022
142, 25.429604, Mon Jun 27 21:57:44 2022
15, 15.028151, Mon Jun 27 21:58:14 2022
21, 17.177726, Mon Jun 27 21:58:14 2022
37, 17.628475, Mon Jun 27 21:58:14 2022
49, 18.670030, Mon Jun 27 21:58:14 2022
112, 19.821256, Mon Jun 27 21:58:14 2022
129, 22.635621, Mon Jun 27 21:58:14 2022
132, 23.662835, Mon Jun 27 21:58:14 2022
142, 25.387136, Mon Jun 27 21:58:14 2022
15, 15.210275, Mon Jun 27 21:58:44 2022
21, 17.189412, Mon Jun 27 21:58:44 2022
37, 17.812690, Mon Jun 27 21:58:44 2022
49, 18.509882, Mon Jun 27 21:58:44 2022
112, 20.047894, Mon Jun 27 21:58:44 2022
129, 22.728811, Mon Jun 27 21:58:44 2022
132, 23.700889, Mon Jun 27 21:58:44 2022
142, 25.393778, Mon Jun 27 21:58:44 2022
15, 15.457682, Mon Jun 27 21:59:14 2022
21, 17.210852, Mon Jun 27 21:59:14 2022
37, 17.785623, Mon Jun 27 21:59:14 2022
49, 18.356380, Mon Jun 27 21:59:14 2022
112, 20.244420, Mon Jun 27 21:59:14 2022
129, 22.922675, Mon Jun 27 21:59:14 2022
132, 23.830418, Mon Jun 27 21:59:14 2022
142, 25.298178, Mon Jun 27 21:59:14 2022
15, 15.626158, Mon Jun 27 21:59:44 2022
21, 17.277435, Mon Jun 27 21:59:44 2022
37, 17.752732, Mon Jun 27 21:59:44 2022
49, 18.351834, Mon Jun 27 21:59:44 2022
112, 20.426124, Mon Jun 27 21:59:44 2022
129, 23.039012, Mon Jun 27 21:59:44 2022
132, 23.725992, Mon Jun 27 21:59:44 2022
142, 25.484321, Mon Jun 27 21:59:44 2022
15, 15.685661, Mon Jun 27 22:00:14 2022
21, 17.362894, Mon Jun 27 22:00:14 2022
37, 17.810402, Mon Jun 27 22:00:14 2022
